,상품명,가격,이미지 경로,이미지 개수
67,22SS FLAVOUR SHORTS PANTS _03,"59,000원","['./상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _031.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _032.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _033.jpg']",3
68,여성 우븐 바이커쇼츠,"89,000원","['./상품이미지/바지/반바지/여성 우븐 바이커쇼츠1.jpg', './상품이미지/바지/반바지/여성 우븐 바이커쇼츠2.jpg', './상품이미지/바지/반바지/여성 우븐 바이커쇼츠3.jpg']",3
69,테리 숏 팬츠 핑크,"47,200원","['./상품이미지/바지/반바지/테리 숏 팬츠 핑크1.jpg', './상품이미지/바지/반바지/테리 숏 팬츠 핑크2.jpg', './상품이미지/바지/반바지/테리 숏 팬츠 핑크3.jpg']",3
70,드라이 핏 쿨 트레이닝 4부 쇼츠 DBF2S8016 3colors,"55,000원","['./상품이미지/바지/반바지/드라이 핏 쿨 트레이닝 4부 쇼츠 DBF2S8016 3colors1.jpg', './상품이미지/바지/반바지/드라이 핏 쿨 트레이닝 4부 쇼츠 DBF2S8016 3colors2.jpg']",2
71,22SS FLAVOUR SHORTS PANTS _01,"59,000원","['./상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _011.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _012.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _013.jpg']",3
72,테리 숏 팬츠 그린,"47,200원","['./상품이미지/바지/반바지/테리 숏 팬츠 그린1.jpg', './상품이미지/바지/반바지/테리 숏 팬츠 그린2.jpg', './상품이미지/바지/반바지/테리 숏 팬츠 그린3.jpg']",3
73,여성 골지 니트 4부 반바지,"89,000원","['./상품이미지/바지/반바지/여성 골지 니트 4부 반바지1.jpg', './상품이미지/바지/반바지/여성 골지 니트 4부 반바지2.jpg', './상품이미지/바지/반바지/여성 골지 니트 4부 반바지3.jpg']",3
74,피그먼트 우먼스 쇼츠 핑크,"69,000원","['./상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 핑크1.jpg', './상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 핑크2.jpg', './상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 핑크3.jpg']",3
75,JS SPORTS X 리치리치 4부 우븐 반바지,"69,000원","['./상품이미지/바지/반바지/JS SPORTS X 리치리치 4부 우븐 반바지1.jpg', './상품이미지/바지/반바지/JS SPORTS X 리치리치 4부 우븐 반바지2.jpg', './상품이미지/바지/반바지/JS SPORTS X 리치리치 4부 우븐 반바지3.jpg']",3
76,피그먼트 우먼스 쇼츠 차콜,"69,000원","['./상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 차콜1.jpg', './상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 차콜2.jpg', './상품이미지/바지/반바지/피그먼트 우먼스 쇼츠 차콜3.jpg']",3
77,드라이핏 스우시 심플 5부 밴딩 반바지,"25,000원",['./상품이미지/바지/반바지/드라이핏 스우시 심플 5부 밴딩 반바지1.jpg'],1
78,KODACOLOR 워싱 니트 숏팬츠 우먼 IVORY,"89,000원","['./상품이미지/바지/반바지/KODACOLOR 워싱 니트 숏팬츠 우먼 IVORY1.jpg', './상품이미지/바지/반바지/KODACOLOR 워싱 니트 숏팬츠 우먼 IVORY2.jpg', './상품이미지/바지/반바지/KODACOLOR 워싱 니트 숏팬츠 우먼 IVORY3.jpg']",3
79,우먼즈 라운지 쇼츠,"15,900원","['./상품이미지/바지/반바지/우먼즈 라운지 쇼츠1.jpg', './상품이미지/바지/반바지/우먼즈 라운지 쇼츠2.jpg', './상품이미지/바지/반바지/우먼즈 라운지 쇼츠3.jpg']",3
80,컬러 코듀로이 쇼츠 2컬러,"138,000원","['./상품이미지/바지/반바지/컬러 코듀로이 쇼츠 2컬러1.jpg', './상품이미지/바지/반바지/컬러 코듀로이 쇼츠 2컬러2.jpg', './상품이미지/바지/반바지/컬러 코듀로이 쇼츠 2컬러3.jpg']",3
81,Azuer Dark Blue,"43,000원","['./상품이미지/바지/반바지/Azuer Dark Blue1.jpg', './상품이미지/바지/반바지/Azuer Dark Blue2.jpg', './상품이미지/바지/반바지/Azuer Dark Blue3.jpg']",3
82,Terry Short Charcoal,"69,000원","['./상품이미지/바지/반바지/Terry Short Charcoal1.jpg', './상품이미지/바지/반바지/Terry Short Charcoal2.jpg', './상품이미지/바지/반바지/Terry Short Charcoal3.jpg']",3
83,오션플랜트 스티치 숏츠,"51,000원",['./상품이미지/바지/반바지/오션플랜트 스티치 숏츠1.jpg'],1
84,Azuer Light Blue,"43,000원","['./상품이미지/바지/반바지/Azuer Light Blue1.jpg', './상품이미지/바지/반바지/Azuer Light Blue2.jpg', './상품이미지/바지/반바지/Azuer Light Blue3.jpg']",3
85,하프 슬랙스 팬츠 레이온블랙 MDPT016RNBLACK,"69,000원","['./상품이미지/바지/반바지/하프 슬랙스 팬츠 레이온블랙 MDPT016RNBLACK1.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 레이온블랙 MDPT016RNBLACK2.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 레이온블랙 MDPT016RNBLACK3.jpg']",3
86,하프 슬랙스 팬츠 블랙 MDPT016BLACK,"69,000원","['./상품이미지/바지/반바지/하프 슬랙스 팬츠 블랙 MDPT016BLACK1.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 블랙 MDPT016BLACK2.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 블랙 MDPT016BLACK3.jpg']",3
87,하프 슬랙스 팬츠 차콜 MDPT016CHARCOAL,"69,000원","['./상품이미지/바지/반바지/하프 슬랙스 팬츠 차콜 MDPT016CHARCOAL1.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 차콜 MDPT016CHARCOAL2.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 차콜 MDPT016CHARCOAL3.jpg']",3
88,하프 슬랙스 팬츠 브라운 MDPT016BROWN,"69,000원","['./상품이미지/바지/반바지/하프 슬랙스 팬츠 브라운 MDPT016BROWN1.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 브라운 MDPT016BROWN2.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 브라운 MDPT016BROWN3.jpg']",3
89,하프 슬랙스 팬츠 라이트그레이 MDPT016LGRAY,"69,000원","['./상품이미지/바지/반바지/하프 슬랙스 팬츠 라이트그레이 MDPT016LGRAY1.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 라이트그레이 MDPT016LGRAY2.jpg', './상품이미지/바지/반바지/하프 슬랙스 팬츠 라이트그레이 MDPT016LGRAY3.jpg']",3
